City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
602,Udachnyy,RU,66.42,112.4,62.6,48,99,4.47,overcast clouds
603,Turayf,SA,31.67,38.66,86.0,17,0,6.93,clear sky
604,Terrace,CA,54.52,-128.6,62.6,88,90,4.7,light rain
605,Oranjemund,NA,-28.55,16.43,68.29,28,0,5.39,clear sky
606,Ures,MX,29.43,-110.4,98.01,43,15,5.01,few clouds
607,Cururupu,BR,-1.83,-44.87,82.47,70,35,5.55,scattered clouds
608,Popondetta,PG,-8.75,148.25,71.91,83,6,2.13,clear sky
609,Panuco,MX,22.05,-98.17,87.8,74,75,6.93,broken clouds
610,Sistranda,NO,63.73,8.83,57.2,93,75,12.75,light intensity shower rain
611,Port Hawkesbury,CA,45.62,-61.35,82.99,51,1,8.05,clear sky
612,Garowe,SO,8.41,48.48,80.83,35,0,14.88,clear sky
613,Shetpe,KZ,44.17,52.12,80.13,33,0,5.84,clear sky
614,Santa Rosa,PH,14.31,121.11,80.6,88,100,4.7,overcast clouds
615,Omis,HR,43.44,16.69,82.4,48,7,2.24,clear sky
616,Trairi,BR,-3.28,-39.27,80.71,72,6,13.51,clear sky
617,Angoche,MZ,-16.23,39.91,72.93,78,94,10.2,overcast clouds
618,Rancho Palos Verdes,US,33.74,-118.39,79.0,65,5,4.7,clear sky
619,Ghanzi,BW,-21.57,21.78,55.42,37,0,7.54,clear sky
620,Stettler,CA,52.32,-112.72,81.0,54,0,7.0,clear sky
621,Havre,FR,49.58,0.33,62.6,77,40,8.05,scattered clouds
622,Lahaina,US,20.88,-156.68,86.0,48,40,18.34,scattered clouds
623,Sinnamary,GF,5.38,-52.95,82.35,78,47,11.59,light rain
624,Toamasina,MG,-18.17,49.38,71.6,56,20,13.87,few clouds
625,Ilulissat,GL,69.22,-51.1,44.78,66,0,4.09,clear sky
626,Porbandar,IN,21.64,69.61,85.39,80,100,9.53,light rain
627,Jiayuguan,CN,39.82,98.3,64.26,27,41,3.67,scattered clouds
628,Rulenge,TZ,-2.72,30.63,64.45,41,0,2.91,clear sky
629,Raga,SS,8.46,25.68,70.43,93,100,0.92,overcast clouds
630,Ketchikan,US,55.34,-131.65,60.8,93,90,12.75,overcast clouds
631,Taltal,CL,-25.4,-70.48,65.07,56,22,5.35,few clouds
632,Chapais,CA,49.78,-74.85,64.4,93,75,4.7,broken clouds
633,Salinopolis,BR,-0.61,-47.36,82.04,76,3,10.51,light rain
634,Matagami,CA,49.75,-77.63,59.0,82,90,12.75,overcast clouds
635,Ruteng,ID,-8.61,120.47,56.62,100,0,1.21,clear sky
636,Sobolevo,RU,54.43,31.9,53.08,87,1,3.44,clear sky
637,Tonstad,NO,58.66,6.72,53.01,95,43,3.0,scattered clouds
638,Nuuk,GL,64.18,-51.72,48.2,93,90,4.7,mist
639,Yeppoon,AU,-23.13,150.73,62.6,67,90,6.93,overcast clouds
640,Shache,CN,38.42,77.24,71.6,24,53,2.46,broken clouds
641,Yanam,IN,16.73,82.22,82.51,79,100,7.65,moderate rain
642,Marapanim,BR,-0.72,-47.7,80.69,91,16,3.74,moderate rain
643,Bousso,TD,10.48,16.71,71.87,95,100,5.79,overcast clouds
644,Poli,TZ,-3.33,36.8,59.0,82,40,9.17,scattered clouds
645,Champerico,GT,14.3,-91.92,93.2,59,40,9.17,scattered clouds
646,Chlum U Trebone,CZ,48.96,14.93,62.01,96,100,1.79,light rain
647,Ayan,RU,56.45,138.17,55.02,78,0,3.6,clear sky
648,Redlands,US,34.06,-117.18,98.01,14,5,4.7,clear sky
649,Spring Valley,US,36.11,-115.25,107.01,3,75,9.17,smoke
650,Grand Forks,US,47.93,-97.03,75.99,38,40,12.75,scattered clouds
651,Pergamino,AR,-33.89,-60.57,73.0,69,2,10.0,clear sky
652,Kuala Terengganu,MY,5.33,103.14,80.6,94,20,4.7,few clouds
653,Kitgum,UG,3.28,32.89,65.71,91,0,4.63,clear sky
654,Iznik,TR,40.43,29.72,68.0,68,0,3.36,clear sky
655,Alekseyevsk,RU,57.84,108.35,55.89,77,0,6.44,clear sky
656,Nosy Varika,MG,-20.58,48.53,66.38,75,100,6.13,light rain
657,Naryan-Mar,RU,67.67,53.09,54.79,92,100,4.23,light rain
658,Urumqi,CN,43.8,87.6,82.99,39,75,8.95,light intensity shower rain
